瓰 fēnwǎ
䝔 huān?
㵁 huāng?
䝇 huī?
㩣 huī
㬑 huò
䘛 jī?
㼄 jī?
䪡 jī?
䈔 jiā?
㗎 jià?
䇝 jiān?
㰇 jiān?
䘂 jiān?
䔵 jiān
䊢 jiāng?
䧏 jiàng?
䮐 jiōng?
䲥 jiū?
䲫 jiū?
㣘 jū?
㬷 jùn?
㸆 kào?
䡠 kēng?
㩕 líng?
㴹 mí?
㽗 mǔ
㴎 nài?
㫉 nǐ?
䏾 pāng?
㶪 pī?
㩺 pī?
㺽 pī?
㗪 pī?
㗞 pò?
䇚 pū?
㯃 qī?
䃆 qí?
㖉 qǐ?
㑫 qǐ?
㧝  qiǎ?
䢴 qiān?
䙲 qiān?
䙴 qiān?
䢬  qiān
㔐 qiān?
㳢 qiáo?
㵙 qǐng?
㗺 sà?
䮣 sāng?
㮻 sāo?
䩖 shā?
㹪 shān?
䁡 shǎn?
㧧   shū?
䋒 shū?
䋡  shū?
㑠 shù?
㲙 sōu?
㮴 sōu?
㲣 sōu?
䤇  sōu?
㙌 sù?
䔩 sù?
䕖 sūn?
㲩 tà?
䏥  tān?
㞵 tāo?
㫞 tāo?
㬺 téng?
䒶 tiān?
㽐 tián?
䩠 tīng?
䵍 tūn?
㻨 wàn?
䑢 wù?
㭊 xī?
㫺 xī?
㩬  xī?
㰕 xī?
䊹  xiān
㩥 xiān?
㛠 xián?
㲵 xiāo?
䔥 xiāo?
㿁 xiāo?
䖀 xiāo?
㺧  xiāo?
㫴 xiào?
㶸 xié?
㤼  xié?
㹯 xiū?
䝗 xiū?
䖉 xū?
㶷 xū?
䰑  xū?
䙧  xūn?
㝷 xún?
䱧  yǎn?
㹧 yǎng?
䍰 yāo?
䫯   yī?
㼁  yǐ?
䨧 yīn?
䋝  yīng?
㨣  yōng
㥑   yōu?
㳓  yòu?
䨕 yū?
䦀  yú?
䄗 yuàn
㢤 zǎ?
㦳 zāi?

㗍 zhāi?
䬩 zhāi?
䥠  zhēn?
䕄  zhēng?
㿂 zhēng?
㞢 zhī
㩫  zhì
㽵  zhuāng
䡮 zōng
䶯 kuī?
㳝 kuāng?
䋆  lū?

