𫍳 zhòng
𫍲 xiǎo
𫍱 zhuān
𫍰 xǐ
𫍯 xián
𫍫 yàn
𫍩 huà
𫍣 tóng
𫍢 náo
𫍠 yuǎn
𫍟 yí
𫍛 fēn
𫍙 yì
𫍑 yīng
𫍐 pín
𫍈 tāo
𫌸 jiàn
𫌲 gào
𫌭 wéi
𫌩 hǒu
𫌨 luó
𫌣 shé
𫌙 jiǎn
𫌋 shù
𫌃 xuē
𫌀 jī
𫋪 pǐ
𫋒 huí
𫋐 gǒng
𫊼 yì
𫊪 cháng
𫊣 wú
𫊝 nüè
𫊈 cā
𫉬 huò
𫉨 tà
𫉏 jié
𫈹 jú
𫈰 qià
𫈐 zí
𫈇 jiāo
𫇭 wěi
𫇘 lài
𫇓 líng
𫇏 zhī
𫅙 gāng
𫅓 shān
𫅐 yàng
𫅈 xuán
𫅆 qī
𫅅 jǐ
𫄺 chéng
𫄸 xūn
𫄷 yì
𫄵 bēng
𫄱 sè
𫄰 bāng
𫄮 tīng
𫄪 sāng
𫄩 fán
𫄨 chī
𫄧 yán
𫄦 jié
𫄝 dào
𫄇 zài
𫃦 zǔ
𫃜 kòu
𫃗 jiū
𫃕 cí
𫃑 lào
𫃐 mèn
𫃅 lǐn
𫂿 sà
𫂾 yīn
𫂫 dìng
𫂜 kuài
𫂙 sù
𫂈 fèi
𫂀 bō
𫁳 wěi
𫁩 yù
𫁥 diàn
𫁤 bān
𫁡 lì
𫁘 zào
𫁐 miào
𫁍 zhū
𫁄 xiāo
𫀸 jú
𫀲 pī
𫀉 xù
𫀂 zhāi
𪾾 dá
𪾪 cì
𪾢 xiàn
𪾛 mèi
𪾙 nóng
𪾘 píng
𪾕 huàn
𪾏 yǒu
𪾌 xiǎ
𪾇 pī
𪽾 bó
𪽴 shè
𪽰 xǔ
𪽪 zhàng
𪽧 chù
𪽇 kē
𪼄 zhuàn
𪻐 cōng
𪺾 ái
𪺽 yìn
𪺹 nǔ
𪺫 nǎi
𪺣 shòu
𪺟 zhuàng
𪺞 fú
𪺝 zhì
𪺚 yú
𪺕 xì
𪺏 huàn
𪹹 tà
𪹫 péng
𪹠 rán
𪹇 tàn
𪹅 nài
𪸺 áng
𪸲 zhào
𪸬 kài
𪸒 hù
𪸍 yàn
𪸅 yóu
𪷚 cuān
𪶻 zī
𪶸 wěn
𪶮 wū
𪶜 pāng
𪶒 luó
𪶄 shí
𪵹 jiāng
𪵍 lìng
𪵉 niē
𪵇 ài
𪵁 tāo
𪴿 yǔ
𪴸 wǎng
𪴶 yuán
𪴵 wù
𪴴 yáo
𪴭 pā
𪴫 pā
𪴪 pǒ
𪴩 fēng
𪴕 chēng
𪳷 dàng,yáng
𪳯 táng
𪳚 sù
𪳐 qú
𪳅 luò
𪳄 liàng
𪲵 duò
𪲉 huò
𪱳 hé
𪱫 sì
𪱪 téng
𪱢 zuò
𪱠 biǎn
𪱞 nì
𪱛 yǐn
𪱖 jué
𪰸 sù
𪰖 shùn
𪰍 dǒu
𪰅 xūn
𪰄 gàng
𪯱 xiān
𪯨 chǎn
𪯢 guàn
𪯜 lǐn
𪯙 dí
𪯘 zēn
𪯖 lù
𪯐 dì
𪯏 hū
𪯎 tà
𪯍 gěng
𪯌 chuí
𪯈 fú
𪮳 mán
𪮰 mèn
𪮪 lòu
𪮤 bīng
𪮡 lǎng
𪮟 diē
𪮃 cán
𪭶 chuàn
𪭵 liǎng
𪭰 yáng
𪭬 bù
𪭪 zhā
𪭧 ér
𪭥 zuǒ
𪭢 chuāng
𪭟 wǔ
𪭝 wěi
𪭛 zhào
𪭓 méng
𪭎 guǐ
𪭍 gǒng
𪭋 zāi
𪭊 lè
𪬹 tǎn
𪬚 pīn
𪫳 níng
𪫰 lǜ
𪫥 shū
𪫡 lì
𪫠 kǒng
𪫘 yán
𪫖 chuán
𪫐 yì
𪫎 kòu
𪫅 yú
𪫂 yín
𪪺 qiáng
𪪹 xūn
𪪸 zhèn
𪪶 dì
𪪨 lǐn
𪪝 yōng
𪪚 tīng
𪪕 qū
𪪋 zāi
𪩘 yǎn
𪨶 shē
𪨰 qū
𪨘 zhēng
𪨗 juē
𪨍 yī
𪨋 tǐng
