僞	偽
兌	兑
冑	胄
冗	宂
勳	勛
叄	叁
告	吿
啓	啟
喫	吃
嘆	歎
囪	囱
妝	粧
媼	媪
嫋	裊
嫺	嫻
嬀	媯
岩	巖
悅	悦
慍	愠
戶	户
挩	捝
搵	揾
擡	抬
敓	敚
敘	敍
柺	枴
梲	棁
棱	稜
榲	榅
檯	枱
氳	氲
涌	湧
涗	涚
溫	温
溼	濕
潙	溈
潨	潀
熅	煴
爲	為
痹	痺
癡	痴
皁	皂
稅	税
竈	灶
糉	粽
縕	緼
繮	韁
纔	才
脫	脱
膃	腽
臥	卧
臺	台
菸	煙
蒕	蒀
蔥	葱
蔿	蒍
蘊	藴
蛻	蜕
衆	眾
衛	衞
覈	核
說	説
贗	贋
踊	踴
轀	輼
醞	醖
鉢	缽
鉤	鈎
銳	鋭
閱	閲
鰮	鰛
鱉	鼈
貝胄	貝冑
大欖涌	大欖涌
大涌	大涌
東涌	東涌
冠胄	冠冑
韓侂胄	韓侂冑
蠔涌	蠔涌
河涌	河涌
甲胄	甲冑
介胄	介冑
鎧胄	鎧冑
葵涌	葵涌
黎涌	黎涌
麻涌	麻涌
免胄	免冑
南涌	南涌
泥涌	泥涌
沙魚涌	沙魚涌
深涌	深涌
西涌	西涌
溪涌	溪涌
懸胄	懸冑
壓胄子	壓冑子
飮胄	飮冑
涌尾	涌尾
魚胄	魚冑
鰂魚涌	鰂魚涌
胄甲	冑甲
胄科	冑科
